b10


1337	0.00024052
1338	0.00005404
1339	0.00003052
1340	0.00002872
1341	0.00007632
1342	0.00010949
1343	0.00008804
1344	0.00012356
1345	0.00017424
1346	0.00033170
1347	0.00036891
1348	0.00044670
1349	0.00065919
1350	0.00109130
1351	0.00196903
1352	0.00373668
1353	0.00801754
1354	0.01884719
1355	0.04466732
1356	0.10165546
1357	0.20111776
1358	0.34284841
1359	0.50710992
1360	0.66320680
1361	0.78377143
1362	0.86153862
1363	0.91000261
1364	0.94193255
1365	0.96182259
1366	0.97365119
1367	0.98169786
1368	0.98795826
1369	0.99283342
1370	0.99649788
1371	0.99906011
1372	1.00000000
1373	0.99907734
1374	0.99601604
1375	0.99090830
1376	0.98479854
1377	0.97802142
1378	0.97030114
1379	0.96080954
1380	0.94849765
1381	0.93314108
1382	0.91482336
1383	0.89379970
1384	0.86825426
1385	0.83023193
1386	0.76384193
1387	0.65440009
1388	0.50671604
1389	0.35014737
1390	0.21799972
1391	0.12643091
1392	0.06768988
1393	0.03227090
1394	0.01354400
1395	0.00544557
1396	0.00237642
1397	0.00111267
1398	0.00053796
1399	0.00034570
1400	0.00017488
1401	0.00021619
1402	0.00019479
1403	0.00010421
1404	0.00005919
1405	0.00005109
1406	0.00006115
1407	0.00005527
1408	0.00003856
1409	0.00003147
1410	0.00012289
1411	0.00010890
1412	0.00002502
